SbjNum,d3,PROVINCIA,DISTRITO,ORGANIZACION,A,B,D,E,P1,P2,P3,P4,P5_O1,P5_O2,P5_O3,P5_O4,P6_1,P6_2,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16A,P16B_O1,P16B_O2,P16B_O3,P16B_O4,P16B_O5,P16B_O6,P16B_O7,P16B_O8,P16B_O9,P17,P18,P19,P20,P21,P22,P23,P24_1,P24_2,P24_3,P24_4,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,I_1_P44,I_2_P44,I_3_P44,I_4_P44,I_5_P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,I_1_P54,I_2_P54,I_3_P54,I_4_P54,I_1_P55,I_2_P55,I_1_P56,I_2_P56,P57,P58,P59,NSE,REGX,ent,SEXO,edad
153874261,17,1701,170101,29,1,34,2,1,2,2,7,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,3,0,0,6,2,2,1,1,NA,2,2,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,3,1,9,2,3,2,3,2,1,1,2,1,1,1,2,2,4,1,3,2,51,200,2,2
153874365,4,401,40101,29,1,56,1,1,2,3,7,1,2,NA,NA,NA,NA,2,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,12,2,15,10,3,2,3,1,NA,3,3,3,2,NA,4,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,3,217,7,4,2,3,3,5,2,1,1,1,1,1,1,2,2,4,1,3,1,42,200,2,5
153874432,25,2501,250101,65,1,21,1,1,2,2,10,2,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,30,1,2,8,2,2,1,1,NA,2,3,2,2,NA,3,3,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,10,2,96,2,3,3,2,2,2,2,2,1,1,1,2,2,1,2,1,3,51,300,2,1
153874441,20,2001,200101,40,1,34,1,1,2,3,7,2,NA,NA,NA,NA,NA,NA,3,2,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,15,0,2,2,2,2,1,1,NA,2,3,2,2,NA,3,3,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,11,1,9,2,3,3,3,2,1,1,2,1,1,1,2,2,3,1,3,2,24,200,2,2
153874647,16,1601,160101,29,1,34,2,3,2,2,8,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,2,2,1,15,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,5,0,5,10,2,2,2,2,7,2,2,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,4,4,4,3,4,2,3,3,9,1,6,4,5,1,1,1,1,1,1,1,2,2,3,1,3,1,51,200,1,2
153874916,16,1601,160101,51,1,46,2,1,2,3,10,1,2,NA,NA,NA,NA,2,1,1,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,1,10,10,20,5,2,2,1,1,NA,2,2,2,2,NA,3,5,NA,NA,NA,NA,NA,1,3,4,4,4,4,4,2,3,1,96,1,3,3,3,2,1,2,2,2,1,2,2,2,1,1,3,3,51,300,1,4
153875180,16,1601,160101,64,1,28,11,2,2,2,8,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,2,2,1,3,96,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,4,30,20,0,20,2,2,1,2,30,2,2,2,2,NA,3,6,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,12,1,15,1,2,3,2,2,2,2,2,2,2,2,2,2,3,1,3,3,51,300,1,2
153875286,25,2501,250101,65,1,30,1,1,2,2,9,2,NA,NA,NA,NA,NA,NA,1,2,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,20,1,3,10,2,2,1,1,NA,2,3,1,2,NA,3,5,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,1,11,1,96,2,3,3,3,2,2,2,2,2,2,1,2,2,1,2,1,4,51,300,2,2
153875353,17,1701,170101,29,1,40,1,1,2,1,10,2,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,1,5,0,0,5,2,2,1,1,NA,2,3,2,2,NA,3,3,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,1,3,5,9,2,3,3,3,2,1,1,2,1,1,1,2,2,4,1,3,2,51,200,2,3
153875483,16,1601,160101,29,1,39,1,1,2,2,8,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,2,2,1,3,96,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,20,0,5,15,2,2,2,3,15,2,2,2,2,NA,3,1,NA,NA,NA,NA,NA,1,2,4,3,4,4,4,2,3,4,7,1,6,4,3,2,1,1,2,1,1,2,2,2,3,1,3,2,51,200,1,3
153875532,21,2101,210101,13,1,18,2,1,2,4,8,1,2,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,1,20,30,5,4,2,2,2,3,30,2,2,2,1,2,3,5,NA,NA,NA,NA,NA,4,1,4,4,4,4,4,2,5,1,2,1,3,1,4,2,1,2,2,2,1,1,1,2,3,1,3,2,42,100,1,1
153875543,11,1101,110101,16,1,52,2,1,4,118,5,1,2,NA,NA,NA,NA,2,1,2,1,2,2,2,2,4,1,1,96,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,15,1,5,5,2,2,2,3,90,4,4,4,1,1,3,10,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,4,110,1,22,1,6,3,5,2,1,1,2,1,1,1,2,2,3,1,3,2,42,100,1,4
153875792,16,1601,160101,51,1,39,1,1,4,102,1,2,NA,NA,NA,NA,NA,NA,2,5,2,4,4,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,1,30,5,5,5,4,4,1,1,NA,4,4,4,2,NA,3,5,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,4,103,96,1,2,3,3,3,2,1,2,1,2,1,2,2,2,1,1,3,3,51,300,2,3
