"","FECHA","TC_NOMINAL","RESERVA_INT","RENDIMIENTO_BONO","ORO","PETROLEO","ANIO"
"160",2019-11-16,3.363,67817.76828671,4.2562,1466.9,57.54,2019
"161",2019-11-17,3.363,67817.76828671,4.2562,1466.9,57.54,2019
"162",2019-11-18,3.372,67762.24629637,4.2696,1467.65,56.82,2019
"163",2019-11-19,3.376,67939.55184125,4.2219,1468.45,54.93,2019
"164",2019-11-20,3.382,67820.95416784,4.2307,1471.7,56.71,2019
"165",2019-11-21,3.372,67544.50745695,4.2183,1467.05,58.36,2019
"166",2019-11-22,3.388,67371.86892863,4.233,1464.45,57.68,2019
"167",2019-11-23,3.388,67371.86892863,4.233,1464.45,57.68,2019
"168",2019-11-24,3.388,67371.86892863,4.233,1464.45,57.68,2019
"169",2019-11-25,3.386,67328.63092739,4.2008,1458.4,57.79,2019
"170",2019-11-26,3.384,67290.4301551,4.1846,1454.65,58.25,2019
"171",2019-11-27,3.384,67482.40887308,4.239,1454.35,58.12,2019
"172",2019-11-28,3.394,67471.55753917,4.2142,1454.65,58.12,2019
"173",2019-11-29,3.405,66770.85736208,4.2664,1460.15,58.12,2019
"174",2019-11-30,3.405,66770.85736208,4.2664,1460.15,58.12,2019
"175",2019-12-01,3.405,66770.85736208,4.2664,1460.15,58.12,2019
"176",2019-12-02,3.391,67110.87021694,4.2678,1461.15,55.97,2019
"177",2019-12-03,3.389,69513.41996543,4.2349,1477.3,56.15,2019
"178",2019-12-04,3.379,67827.82847553,4.2119,1475.1,58.46,2019
"179",2019-12-05,3.379,67965.22043759,4.2549,1475.95,58.42,2019
"180",2019-12-06,3.377,68165.99907001,4.2664,1459.65,59.2,2019
"181",2019-12-07,3.377,68165.99907001,4.2664,1459.65,59.2,2019
"182",2019-12-08,3.377,68165.99907001,4.2664,1459.65,59.2,2019
"183",2019-12-09,3.374,68332.70763946,4.2305,1461.7,58.99,2019
"184",2019-12-10,3.399,68694.81820724,4.1934,1464.95,59.22,2019
"185",2019-12-11,3.392,68582.23952132,4.1911,1466.8,58.74,2019
"186",2019-12-12,3.375,68510.86870265,4.2121,1467.8,59.18,2019
"187",2019-12-13,3.366,68582.65615404,4.1787,1466.6,60.11,2019
"188",2019-12-14,3.366,68582.65615404,4.1787,1466.6,60.11,2019
"189",2019-12-15,3.366,68582.65615404,4.1787,1466.6,60.11,2019
"190",2019-12-16,3.351,68488.89999049,4.149,1477.9,60.21,2019
"191",2019-12-17,3.339,68470.33944743,4.177,1475.8,60.88,2019
"192",2019-12-18,3.338,68547.86422728,4.1959,1474.05,60.93,2019
"193",2019-12-19,3.332,68569.18844932,4.6092,1476.7,61.3,2019
"194",2019-12-20,3.314,68910.71345733,4.5875,1479,60.43,2019
"195",2019-12-21,3.314,68910.71345733,4.5875,1479,60.43,2019
"196",2019-12-22,3.314,68910.71345733,4.5875,1479,60.43,2019
"197",2019-12-23,3.318,68804.84887956,4.5838,1482.1,60.51,2019
"198",2019-12-24,3.317,69080.62843217,4.557,1490.85,61.17,2019
"199",2019-12-25,3.317,69080.62843217,4.557,1490.85,61.17,2019
"200",2019-12-26,3.319,69219.69619134,4.553,1490.85,61.72,2019
"201",2019-12-27,3.314,69370.43788658,4.5644,1511.5,61.76,2019
"202",2019-12-28,3.314,69370.43788658,4.5644,1511.5,61.76,2019
"203",2019-12-29,3.314,69370.43788658,4.5644,1511.5,61.76,2019
"204",2019-12-30,3.316,69169.27247071,4.6208,1514.75,61.66,2019
"205",2019-12-31,3.312,68315.89467629,4.6354,1523,61.14,2019
"206",2020-01-01,3.312,68315.89467629,4.6354,1523,61.14,2020
"207",2020-01-02,3.299,68603.86109998,4.5598,1527.1,61.17,2020
"208",2020-01-03,3.315,68637.68691143,4.5722,1548.75,63,2020
"209",2020-01-04,3.315,68637.68691143,4.5722,1548.75,63,2020
"210",2020-01-05,3.315,68637.68691143,4.5722,1548.75,63,2020
"211",2020-01-06,3.324,68684.61045159,4.5512,1573.1,63.27,2020
"212",2020-01-07,3.321,68718.25818018,4.5319,1567.85,62.7,2020
"213",2020-01-08,3.314,68902.44036938,4.5657,1571.95,59.65,2020
"214",2020-01-09,3.32,68974.61746969,4.5686,1550.75,59.56,2020
"215",2020-01-10,3.331,68981.3067157,4.5471,1553.6,59.02,2020
"216",2020-01-11,3.331,68981.3067157,4.5471,1553.6,59.02,2020
"217",2020-01-12,3.331,68981.3067157,4.5471,1553.6,59.02,2020
"218",2020-01-13,3.332,69036.70493906,4.5552,1549.9,58.17,2020
"219",2020-01-14,3.321,69087.13893091,4.5688,1545.1,58.34,2020
"220",2020-01-15,3.323,69037.18211504,4.5623,1549,57.86,2020
"221",2020-01-16,3.322,68872.58583035,4.5617,1554.55,58.52,2020
"222",2020-01-17,3.321,68740.11522772,4.5307,1557.6,58.55,2020
"223",2020-01-18,3.321,68740.11522772,4.5307,1557.6,58.55,2020
"224",2020-01-19,3.321,68740.11522772,4.5307,1557.6,58.55,2020
"225",2020-01-20,3.316,68743.13115277,4.5141,1560.15,58.55,2020
